,Country,Rank,Score,Year,Life Expectancy,Trust in the gov,Economy strength,Generosity,Perceived freedom,Family,ISO
0,Switzerland,1,7.587,2015,82.19031309904153,0.7605950245511043,0.8261319672034169,0.372895411368548,0.9937885416511131,0.9624027442003095,CHE
1,Iceland,2,7.561,2015,82.36233865814697,0.25629178670435393,0.7704120869369742,0.5481982208373122,0.9388410254878832,1.0,ISL
2,Denmark,3,7.527,2015,80.39786581469649,0.8761754633907702,0.7841128240318974,0.4289465748605318,0.9696146208173442,0.9702973121385221,DNK
3,Norway,4,7.522,2015,80.68153354632588,0.6613940678733852,0.8630991114634233,0.43598281147911744,1.0,0.9491666844954109,NOR
4,Canada,5,7.427,2015,81.2295463258786,0.5971444619593774,0.7845919948888441,0.575601849525054,0.945112209397817,0.9432190154254295,CAN
5,Finland,6,7.406,2015,80.78619808306709,0.7496149734558171,0.7632718495995078,0.2933985022867769,0.9581323817060605,0.9401168139320938,FIN
6,Netherlands,7,7.378,2015,80.88630031948881,0.576434563606385,0.7864554371103039,0.5982057596622606,0.9194152867573498,0.9129529392467712,NLD
7,Sweden,8,7.364,2015,81.37017252396166,0.7944048848544146,0.7877982986476734,0.4556214504699201,0.985173129470085,0.919299972187159,SWE
8,New Zealand,9,7.286,2015,81.30307987220448,0.7776992625609248,0.7395676814046214,0.5968362064632858,0.9546832305555969,0.9411223551057957,NZL
9,Australia,10,7.284,2015,81.92543130990416,0.6457031037669185,0.7889045326013653,0.5473438206764839,0.9723918594060292,0.9336770715217901,AUS
10,Israel,11,7.278,2015,81.4506837060703,0.1410556068924281,0.7267838761964481,0.4167965019852239,0.6169501142251355,0.8728453962616688,ISR
11,Costa Rica,12,7.226,2015,80.01221725239617,0.19175227845119674,0.5654097798180333,0.3203623661858571,0.946291789228495,0.8827938355334004,CRI
12,Austria,13,7.2,2015,80.82135463258786,0.33838850537225273,0.7910637593024218,0.41574106649243603,0.9322114882116674,0.9249837758427647,AUT
13,Mexico,14,7.187,2015,78.78227476038339,0.3861499157471327,0.6037197856154092,0.17683570387495604,0.7194093142012452,0.652182594866748,MEX
14,United States,15,7.119,2015,80.05300958466454,0.2879092605678462,0.8249488292850297,0.5039076242649646,0.8153136338524479,0.8893762078974204,USA
15,Brazil,16,6.983,2015,75.63106709265176,0.3174611802648983,0.5804711255191017,0.18311805799869327,0.7323697609484419,0.8792209551928,BRA
16,Luxembourg,17,6.946,2015,81.58674760383387,0.6848580384482977,0.925160610972421,0.3522390310096999,0.9195198064891821,0.8697788522567624,LUX
17,Ireland,18,6.94,2015,80.95312460063897,0.5200666775380044,0.790312466724246,0.5767326732673267,0.9224164961999611,0.97664434507891,IRL
18,Belgium,19,6.937,2015,80.98908626198083,0.40839992027685673,0.7736657162125389,0.27956475850630746,0.872739760799128,0.9168681314762913,BEL
19,United Arab Emirates,20,6.901,2015,78.64299041533546,0.69908137196282,0.8443286283882112,0.3320601095642559,0.9579532050229196,0.8028283519821997,ARE
20,United Kingdom,21,6.867,2015,81.33152715654953,0.5810186443441866,0.7491451828539653,0.652259134542896,0.8902841443566809,0.9167397645179464,GBR
21,Oman,22,6.853,2015,77.39533546325879,0.5892989799061441,0.8045988570887708,0.27066894506709555,0.9447687874217967,0.7714996826483529,OMN
22,Venezuela,23,6.81,2015,76.26173801916933,0.20055806200286277,0.6177399699482969,0.07339046087349851,0.6406760933510519,0.8956875833493791,VEN
23,Singapore,24,6.798,2015,84.43979552715655,0.8916308818466778,0.9002851362383313,0.3908252500376941,0.810057784480313,0.7274127639545581,SGP
24,Panama,25,6.786,2015,78.30376996805111,0.167962167744741,0.629151335171141,0.30700608131879176,0.8094306660893196,0.8547099976466056,PAN
25,Germany,26,6.75,2015,80.86,0.3957710496276567,0.7855562522923297,0.3545006784942453,0.917937079121437,0.9266454148035628,DEU
26,Chile,27,6.67,2015,79.96659424920128,0.2331720751571814,0.6549555731711646,0.4191963612604915,0.6589521150314305,0.8019155202784137,CHL
27,Qatar,28,6.611,2015,78.3230926517572,0.9459513326448152,1.0,0.40927024174498666,0.9562062323622952,0.769203340393516,QAT
28,France,29,6.575,2015,82.30732268370608,0.3740827308800348,0.7558949846783639,0.15494798210785546,0.8213907096889791,0.8988397053265156,FRA
29,Argentina,30,6.574,2015,78.05203833865815,0.15372071533402185,0.6232238142000213,0.14387847414183041,0.6715243456318217,0.8901749356382332,ARG
30,Czech Republic,31,6.505,2015,79.59785303514377,0.04805131271402946,0.6974479715100389,0.13426647233251243,0.6922789780956504,0.860365275311468,CZE
31,Uruguay,32,6.485,2015,78.70605750798723,0.4449638528020873,0.6280451012174489,0.29200381967130723,0.9012885789795888,0.8621267552398679,URY
32,Colombia,33,6.477,2015,75.46333546325879,0.09276874852783969,0.5434211616048082,0.23120319646177814,0.7983217117345796,0.884434080001141,COL
33,Thailand,34,6.455,2015,76.74426837060703,0.05774492217934084,0.5719880266442658,0.7241041363019551,0.8311409075299001,0.9021629832481118,THA
34,Saudi Arabia,35,6.411,2015,76.25449201277955,0.5892989799061441,0.825481241348304,0.1722118912398854,0.46358980484672924,0.7730044286600629,SAU
35,Spain,36,6.329,2015,82.57113099041534,0.1159246978674059,0.7276948923936063,0.22901693722671757,0.6861123139175488,0.9369290344665283,ESP
36,Malta,37,6.302,2015,80.73520766773163,0.24616332373031835,0.7142603613303202,0.6502487812233,0.901333373150374,0.9285423931879934,MLT
37,Taiwan,38,6.298,2015,80.41557827476038,0.14728850718414235,0.7637036949397191,0.3188420364879127,0.5933734490018365,0.7674703864558596,TWN
38,Kuwait,39,6.295,2015,76.37982108626198,0.46400681270496996,0.9194283077578352,0.2039000854400161,0.8286772281367117,0.8314898411815465,KWT
39,Suriname,40,6.269,2015,73.24739936102236,0.24701491185157,0.5888122478437311,0.2134869578328391,0.890761948845057,0.6931815750625788,SUR
40,Trinidad and Tobago,41,6.168,2015,73.42532907348243,0.020655541664401804,0.7168810118195478,0.4001105694325778,0.8344258133874844,0.8440412771086055,TTO
41,El Salvador,42,6.13,2015,75.10371884984026,0.21336812161403126,0.45227813206185447,0.1343418605819973,0.6024815970615024,0.7310284332812733,SLV
42,Guatemala,43,6.123,2015,74.21487539936102,0.1716221847765034,0.44103240614758465,0.34539126501482637,0.8620339539814552,0.7442145725023712,GTM
43,Uzbekistan,44,6.003,2015,72.96614696485624,0.5585330941639035,0.37413187255238345,0.286940242247575,0.982799038418467,0.9559273443015768,UZB
44,Slovakia,45,5.995,2015,78.1000766773163,0.062165932851370696,0.6914908720909596,0.2122556164245866,0.4740865722007376,0.9056930746025972,SVK
